group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013693672,0.01236922,0.128,0.872,0.128,0.128,False,Alox12,21
Oligodendrocyte Precursor Cells,0.0122012785,0.011529476,0.851,0.149,0.149,0.1385,False,Alox12,21
Neurons,0.008997769,0.01420848,0.735,0.265,0.265,0.18066666666666667,False,Alox12,21
Neural Stem Cells,0.008530725,0.018370394,0.678,0.322,0.322,0.21600000000000003,False,Alox12,21
Excitatory Neurons,0.0045553376,0.012282414,0.642,0.358,0.358,0.2444,False,Alox12,21
Endocrine Cells,0.009878365,0.031087738,0.635,0.365,0.365,0.2645,False,Alox12,21
Endothelial Cells,-0.00936591,0.031254258,0.392,0.608,0.392,0.28271428571428575,False,Alox12,21
Myocytes,0.005571115,0.024666172,0.59,0.41,0.41,0.29862500000000003,False,Alox12,21
Astrocytes,0.0022349036,0.015979797,0.574,0.426,0.426,0.3127777777777778,False,Alox12,21
Microglia,-0.002667052,0.017939175,0.431,0.569,0.431,0.32460000000000006,False,Alox12,21
Oligodendrocytes,-0.0017176251,0.010718416,0.452,0.548,0.452,0.3361818181818182,False,Alox12,21
GABAergic Neurons,-0.0022902999,0.018900458,0.473,0.527,0.473,0.34758333333333336,False,Alox12,21
