group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013599675,0.012369902,0.128,0.872,0.128,0.128,False,Alox12e,21
Oligodendrocyte Precursor Cells,0.012292454,0.011529135,0.852,0.148,0.148,0.138,False,Alox12e,21
Neurons,0.009031627,0.01420848,0.735,0.265,0.265,0.18033333333333335,False,Alox12e,21
Neural Stem Cells,0.008541479,0.018371351,0.678,0.322,0.322,0.21575,False,Alox12e,21
Excitatory Neurons,0.004578368,0.012282878,0.643,0.357,0.357,0.244,False,Alox12e,21
Myocytes,0.008245178,0.024661837,0.63,0.37,0.37,0.26499999999999996,False,Alox12e,21
Endothelial Cells,-0.00806025,0.031281386,0.401,0.599,0.401,0.2844285714285714,False,Alox12e,21
Astrocytes,0.0023287444,0.01597796,0.577,0.423,0.423,0.30174999999999996,False,Alox12e,21
Microglia,-0.0025383143,0.017939059,0.433,0.567,0.433,0.3163333333333333,False,Alox12e,21
Oligodendrocytes,-0.0017288547,0.0107178325,0.452,0.548,0.452,0.32989999999999997,False,Alox12e,21
Endocrine Cells,-0.003053532,0.03107694,0.464,0.536,0.464,0.34209090909090906,False,Alox12e,21
GABAergic Neurons,-0.002288197,0.018900938,0.473,0.527,0.473,0.353,False,Alox12e,21
