group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.031510156,0.024736376,0.101,0.899,0.101,0.101,False,Alpl,21
Medium Spiny Neurons,-0.013601287,0.012348736,0.128,0.872,0.128,0.1145,False,Alpl,21
Oligodendrocyte Precursor Cells,0.011695448,0.011641467,0.835,0.165,0.165,0.13133333333333333,False,Alpl,21
Neural Stem Cells,0.01148588,0.01829174,0.731,0.269,0.269,0.16575,False,Alpl,21
Neurons,0.008656509,0.014195047,0.728,0.272,0.272,0.187,False,Alpl,21
Endothelial Cells,-0.01436004,0.030841384,0.318,0.682,0.318,0.20883333333333334,False,Alpl,21
Excitatory Neurons,0.004509953,0.012291306,0.64,0.36,0.36,0.23042857142857143,False,Alpl,21
Endocrine Cells,0.010092041,0.031093076,0.635,0.365,0.365,0.24725,False,Alpl,21
Astrocytes,0.0029335718,0.0162261,0.594,0.406,0.406,0.2648888888888889,False,Alpl,21
Microglia,-0.0023554128,0.017955652,0.435,0.565,0.435,0.2819,False,Alpl,21
Oligodendrocytes,-0.002160476,0.010705105,0.439,0.561,0.439,0.29618181818181816,False,Alpl,21
GABAergic Neurons,-0.0024070176,0.018915085,0.471,0.529,0.471,0.31075,False,Alpl,21
