group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013602896,0.012318186,0.128,0.872,0.128,0.128,False,Als2,21
Oligodendrocyte Precursor Cells,0.012840822,0.011626127,0.866,0.134,0.134,0.131,False,Als2,21
Myocytes,0.023758369,0.024757128,0.825,0.175,0.175,0.14566666666666667,False,Als2,21
Neurons,0.0089238705,0.01412536,0.733,0.267,0.267,0.176,False,Als2,21
Neural Stem Cells,0.009057238,0.01827145,0.691,0.309,0.309,0.20259999999999997,False,Als2,21
Excitatory Neurons,0.005279163,0.012372656,0.658,0.342,0.342,0.22583333333333333,False,Als2,21
Endothelial Cells,-0.008007338,0.031219916,0.401,0.599,0.401,0.25085714285714283,False,Als2,21
Endocrine Cells,0.0065897545,0.031113617,0.592,0.408,0.408,0.2705,False,Als2,21
Astrocytes,0.002731602,0.01604273,0.588,0.412,0.412,0.2862222222222222,False,Als2,21
Oligodendrocytes,-0.0019259566,0.010657421,0.447,0.553,0.447,0.3023,False,Als2,21
Microglia,-0.0017095925,0.017979378,0.453,0.547,0.453,0.316,False,Als2,21
GABAergic Neurons,-0.0020538063,0.019023813,0.479,0.521,0.479,0.32958333333333334,False,Als2,21
