group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013713868,0.012369791,0.128,0.872,0.128,0.128,False,Amelx,21
Oligodendrocyte Precursor Cells,0.012327141,0.0115291355,0.853,0.147,0.147,0.1375,False,Amelx,21
Neurons,0.008991528,0.014208479,0.735,0.265,0.265,0.18000000000000002,False,Amelx,21
Neural Stem Cells,0.008688689,0.018371353,0.68,0.32,0.32,0.21500000000000002,False,Amelx,21
Excitatory Neurons,0.0045490144,0.012281835,0.642,0.358,0.358,0.24359999999999998,False,Amelx,21
Myocytes,0.009040188,0.024660787,0.638,0.362,0.362,0.26333333333333336,False,Amelx,21
Endocrine Cells,0.0072383494,0.031061148,0.599,0.401,0.401,0.28300000000000003,False,Amelx,21
Endothelial Cells,-0.008049614,0.031281386,0.401,0.599,0.401,0.29775,False,Amelx,21
Astrocytes,0.002302298,0.015977617,0.576,0.424,0.424,0.31177777777777776,False,Amelx,21
Microglia,-0.0025431844,0.017938947,0.433,0.567,0.433,0.32389999999999997,False,Amelx,21
Oligodendrocytes,-0.0017258753,0.010718067,0.452,0.548,0.452,0.33554545454545454,False,Amelx,21
GABAergic Neurons,-0.002297641,0.018899977,0.473,0.527,0.473,0.347,False,Amelx,21
