group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013564456,0.012357442,0.128,0.872,0.128,0.128,False,Amer1,21
Oligodendrocyte Precursor Cells,0.011754548,0.011572933,0.838,0.162,0.162,0.14500000000000002,False,Amer1,21
Neurons,0.009021227,0.014187612,0.735,0.265,0.265,0.18500000000000003,False,Amer1,21
Excitatory Neurons,0.0047656875,0.012302996,0.651,0.349,0.349,0.226,False,Amer1,21
Neural Stem Cells,0.0066606207,0.018295914,0.642,0.358,0.358,0.2524,False,Amer1,21
Endocrine Cells,0.009279438,0.03110549,0.62,0.38,0.38,0.27366666666666667,False,Amer1,21
Endothelial Cells,-0.00817986,0.031255785,0.4,0.6,0.4,0.2917142857142857,False,Amer1,21
Myocytes,0.0056837723,0.024666408,0.59,0.41,0.41,0.3065,False,Amer1,21
Astrocytes,0.0023196891,0.016001236,0.577,0.423,0.423,0.3194444444444444,False,Amer1,21
Microglia,-0.0020234275,0.01795636,0.446,0.554,0.446,0.3321,False,Amer1,21
Oligodendrocytes,-0.0017076823,0.010705333,0.452,0.548,0.452,0.343,False,Amer1,21
GABAergic Neurons,-0.0020778186,0.018934622,0.477,0.523,0.477,0.3541666666666667,False,Amer1,21
