group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013362472,0.0123405,0.135,0.865,0.135,0.135,False,Amy1,21
Oligodendrocyte Precursor Cells,0.01241943,0.011565767,0.854,0.146,0.146,0.1405,False,Amy1,21
Neurons,0.010041104,0.014126204,0.761,0.239,0.239,0.17333333333333334,False,Amy1,21
Neural Stem Cells,0.01234205,0.018237669,0.745,0.255,0.255,0.19375,False,Amy1,21
Endocrine Cells,0.011031228,0.031098079,0.646,0.354,0.354,0.2258,False,Amy1,21
Myocytes,0.009248535,0.024714455,0.643,0.357,0.357,0.24766666666666667,False,Amy1,21
Excitatory Neurons,0.0045718728,0.012303696,0.642,0.358,0.358,0.2634285714285714,False,Amy1,21
Endothelial Cells,-0.008103569,0.03126338,0.401,0.599,0.401,0.280625,False,Amy1,21
Astrocytes,0.002923669,0.016062556,0.596,0.404,0.404,0.29433333333333334,False,Amy1,21
Microglia,-0.0027127115,0.017942447,0.431,0.569,0.431,0.308,False,Amy1,21
Oligodendrocytes,-0.0011937973,0.010667491,0.469,0.531,0.469,0.3226363636363636,False,Amy1,21
GABAergic Neurons,-0.0022057737,0.018995767,0.476,0.524,0.476,0.3354166666666667,False,Amy1,21
