group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.014391133,0.01224748,0.116,0.884,0.116,0.116,False,Anapc16,21
Oligodendrocyte Precursor Cells,0.01345813,0.011698135,0.877,0.123,0.123,0.1195,False,Anapc16,21
Neural Stem Cells,0.015316736,0.018062547,0.792,0.208,0.208,0.149,False,Anapc16,21
Neurons,0.009141954,0.014090343,0.74,0.26,0.26,0.17675,False,Anapc16,21
Excitatory Neurons,0.0043825405,0.012387979,0.638,0.362,0.362,0.2138,False,Anapc16,21
Endocrine Cells,0.009359185,0.031296957,0.62,0.38,0.38,0.24149999999999996,False,Anapc16,21
Endothelial Cells,-0.0073127556,0.031123132,0.409,0.591,0.409,0.2654285714285714,False,Anapc16,21
Astrocytes,0.0027719548,0.016171327,0.59,0.41,0.41,0.2835,False,Anapc16,21
Oligodendrocytes,0.0011156555,0.010563778,0.552,0.448,0.448,0.30177777777777776,False,Anapc16,21
Microglia,-0.0011240025,0.01804341,0.466,0.534,0.466,0.3182,False,Anapc16,21
Myocytes,0.0012109436,0.024735086,0.531,0.469,0.469,0.3319090909090909,False,Anapc16,21
GABAergic Neurons,-0.0018702233,0.019071171,0.483,0.517,0.483,0.3445,False,Anapc16,21
