group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013700446,0.012369445,0.128,0.872,0.128,0.128,False,Angpt1,21
Oligodendrocyte Precursor Cells,0.012896981,0.011545711,0.87,0.13,0.13,0.129,False,Angpt1,21
Neurons,0.009144072,0.014199726,0.738,0.262,0.262,0.17333333333333334,False,Angpt1,21
Neural Stem Cells,0.007849816,0.01835727,0.661,0.339,0.339,0.21475,False,Angpt1,21
Myocytes,0.01041211,0.02468036,0.658,0.342,0.342,0.24020000000000002,False,Angpt1,21
Excitatory Neurons,0.004617024,0.012285456,0.645,0.355,0.355,0.25933333333333336,False,Angpt1,21
Endothelial Cells,-0.008173288,0.031267,0.4,0.6,0.4,0.2794285714285714,False,Angpt1,21
Astrocytes,0.0021604998,0.015997337,0.572,0.428,0.428,0.298,False,Angpt1,21
Microglia,-0.0020743653,0.017946891,0.444,0.556,0.444,0.3142222222222222,False,Angpt1,21
Oligodendrocytes,-0.0016951761,0.010714947,0.452,0.548,0.452,0.32799999999999996,False,Angpt1,21
GABAergic Neurons,-0.0023573425,0.018903568,0.472,0.528,0.472,0.34109090909090906,False,Angpt1,21
Endocrine Cells,0.0014841697,0.031089716,0.524,0.476,0.476,0.35233333333333333,False,Angpt1,21
