group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013326019,0.012366811,0.135,0.865,0.135,0.135,False,Angptl4,21
Oligodendrocyte Precursor Cells,0.012419625,0.011536749,0.854,0.146,0.146,0.1405,False,Angptl4,21
Neurons,0.008861908,0.014205955,0.732,0.268,0.268,0.18300000000000002,False,Angptl4,21
Neural Stem Cells,0.009434652,0.018355116,0.693,0.307,0.307,0.21400000000000002,False,Angptl4,21
Excitatory Neurons,0.004559245,0.012282652,0.642,0.358,0.358,0.2428,False,Angptl4,21
Endocrine Cells,0.00984262,0.03108692,0.634,0.366,0.366,0.26333333333333336,False,Angptl4,21
Myocytes,0.0072900113,0.024663242,0.616,0.384,0.384,0.2805714285714286,False,Angptl4,21
Astrocytes,0.0021064794,0.016019812,0.571,0.429,0.429,0.299125,False,Angptl4,21
Microglia,-0.002573633,0.017940227,0.432,0.568,0.432,0.3138888888888889,False,Angptl4,21
Oligodendrocytes,-0.001719481,0.01071656,0.452,0.548,0.452,0.3277,False,Angptl4,21
GABAergic Neurons,-0.0024597815,0.018901294,0.47,0.53,0.47,0.3406363636363636,False,Angptl4,21
Endothelial Cells,-0.002293033,0.031211136,0.471,0.529,0.471,0.3515,False,Angptl4,21
