group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.014147476,0.012340378,0.123,0.877,0.123,0.123,False,Ank1,21
Oligodendrocyte Precursor Cells,0.012108036,0.011662405,0.846,0.154,0.154,0.1385,False,Ank1,21
Neural Stem Cells,0.009789647,0.018339843,0.702,0.298,0.298,0.19166666666666665,False,Ank1,21
Neurons,0.0049871807,0.014095137,0.651,0.349,0.349,0.23099999999999998,False,Ank1,21
Myocytes,0.009525748,0.024715526,0.645,0.355,0.355,0.25579999999999997,False,Ank1,21
Excitatory Neurons,0.004377726,0.012330224,0.639,0.361,0.361,0.2733333333333333,False,Ank1,21
Endothelial Cells,-0.008746543,0.031249695,0.395,0.605,0.395,0.29071428571428576,False,Ank1,21
Endocrine Cells,0.00610559,0.031061148,0.585,0.415,0.415,0.30625,False,Ank1,21
Astrocytes,0.002152571,0.016035052,0.571,0.429,0.429,0.3198888888888889,False,Ank1,21
Microglia,-0.0027869476,0.017966399,0.429,0.571,0.429,0.3308,False,Ank1,21
Oligodendrocytes,-0.002368319,0.010686241,0.434,0.566,0.434,0.3401818181818182,False,Ank1,21
GABAergic Neurons,-0.00092549855,0.019223047,0.502,0.498,0.498,0.35333333333333333,False,Ank1,21
