group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.016271135,0.012258574,0.083,0.917,0.083,0.083,False,Ankrd13a,21
Oligodendrocyte Precursor Cells,0.012291555,0.011673605,0.849,0.151,0.151,0.11699999999999999,False,Ankrd13a,21
Myocytes,0.024847006,0.024763802,0.837,0.163,0.163,0.13233333333333333,False,Ankrd13a,21
Neural Stem Cells,0.01111944,0.018153751,0.727,0.273,0.273,0.1675,False,Ankrd13a,21
Neurons,0.008514333,0.014141433,0.727,0.273,0.273,0.18860000000000002,False,Ankrd13a,21
Excitatory Neurons,0.00492374,0.012333857,0.654,0.346,0.346,0.21483333333333335,False,Ankrd13a,21
Endocrine Cells,0.0071864384,0.031257365,0.598,0.402,0.402,0.2415714285714286,False,Ankrd13a,21
Microglia,-0.0034557735,0.018070756,0.42,0.58,0.42,0.263875,False,Ankrd13a,21
Endothelial Cells,-0.0062652673,0.031007992,0.424,0.576,0.424,0.2816666666666667,False,Ankrd13a,21
Astrocytes,0.00206192,0.016072989,0.57,0.43,0.43,0.29650000000000004,False,Ankrd13a,21
GABAergic Neurons,-0.0016686934,0.019025503,0.488,0.512,0.488,0.3139090909090909,False,Ankrd13a,21
Oligodendrocytes,-0.00016241167,0.010270189,0.506,0.494,0.494,0.3289166666666667,False,Ankrd13a,21
