group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.029884307,0.024751378,0.885,0.115,0.115,0.115,False,Ankrd13d,21
Medium Spiny Neurons,-0.013417186,0.012339813,0.132,0.868,0.132,0.1235,False,Ankrd13d,21
Oligodendrocyte Precursor Cells,0.012626245,0.011584129,0.86,0.14,0.14,0.129,False,Ankrd13d,21
Neurons,0.0087541,0.014118286,0.73,0.27,0.27,0.16425,False,Ankrd13d,21
Neural Stem Cells,0.009150852,0.018336147,0.692,0.308,0.308,0.193,False,Ankrd13d,21
Excitatory Neurons,0.004940703,0.012355013,0.654,0.346,0.346,0.2185,False,Ankrd13d,21
Endothelial Cells,-0.008239349,0.031258706,0.4,0.6,0.4,0.2444285714285714,False,Ankrd13d,21
Endocrine Cells,0.0066496013,0.031077413,0.592,0.408,0.408,0.26487499999999997,False,Ankrd13d,21
Astrocytes,0.0025750366,0.016023472,0.584,0.416,0.416,0.2816666666666666,False,Ankrd13d,21
Microglia,-0.0018705811,0.017969672,0.451,0.549,0.451,0.2986,False,Ankrd13d,21
Oligodendrocytes,-0.0012863625,0.010698393,0.467,0.533,0.467,0.3139090909090909,False,Ankrd13d,21
GABAergic Neurons,-0.0019324034,0.019014822,0.479,0.521,0.479,0.32766666666666666,False,Ankrd13d,21
