group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013732545,0.0123687545,0.128,0.872,0.128,0.128,False,Ano5,21
Myocytes,-0.0265501,0.024763092,0.146,0.854,0.146,0.137,False,Ano5,21
Oligodendrocyte Precursor Cells,0.012170323,0.011536644,0.85,0.15,0.15,0.14133333333333334,False,Ano5,21
Neural Stem Cells,0.013428835,0.018315492,0.762,0.238,0.238,0.1655,False,Ano5,21
Neurons,0.0090551255,0.014188934,0.737,0.263,0.263,0.185,False,Ano5,21
Excitatory Neurons,0.004578913,0.012284286,0.643,0.357,0.357,0.21366666666666667,False,Ano5,21
Endothelial Cells,-0.008152645,0.031280443,0.4,0.6,0.4,0.24028571428571427,False,Ano5,21
Endocrine Cells,0.0066425223,0.031064976,0.592,0.408,0.408,0.26125,False,Ano5,21
Astrocytes,0.0023143901,0.015979797,0.577,0.423,0.423,0.2792222222222222,False,Ano5,21
Microglia,-0.0023756719,0.017941626,0.434,0.566,0.434,0.2947,False,Ano5,21
Oligodendrocytes,-0.0017701869,0.010716333,0.45,0.55,0.45,0.3088181818181818,False,Ano5,21
GABAergic Neurons,-0.0022680536,0.018906688,0.474,0.526,0.474,0.3225833333333334,False,Ano5,21
