group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.015241847,0.012298509,0.1,0.9,0.1,0.1,False,Anp32e,21
Oligodendrocyte Precursor Cells,0.01201065,0.011690293,0.844,0.156,0.156,0.128,False,Anp32e,21
Endocrine Cells,0.0263149,0.031316116,0.803,0.197,0.197,0.151,False,Anp32e,21
Neurons,0.008983402,0.014122728,0.735,0.265,0.265,0.1795,False,Anp32e,21
Neural Stem Cells,0.009097277,0.018015623,0.693,0.307,0.307,0.205,False,Anp32e,21
Excitatory Neurons,0.0044555333,0.012376638,0.639,0.361,0.361,0.23099999999999998,False,Anp32e,21
Endothelial Cells,-0.008142138,0.031137493,0.4,0.6,0.4,0.25514285714285717,False,Anp32e,21
GABAergic Neurons,-0.0038136784,0.019036764,0.432,0.568,0.432,0.27725,False,Anp32e,21
Astrocytes,0.0015808082,0.016108055,0.556,0.444,0.444,0.29577777777777775,False,Anp32e,21
Microglia,-0.00089216337,0.018026225,0.468,0.532,0.468,0.313,False,Anp32e,21
Myocytes,-0.0003398816,0.024700986,0.513,0.487,0.487,0.32881818181818184,False,Anp32e,21
Oligodendrocytes,-0.00019128423,0.010611821,0.504,0.496,0.496,0.34274999999999994,False,Anp32e,21
