group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.043149423,0.02479053,0.045,0.955,0.045,0.045,True,Anxa6,21
Oligodendrocyte Precursor Cells,0.012369532,0.011825555,0.848,0.152,0.152,0.0985,False,Anxa6,21
Neural Stem Cells,0.01312118,0.018016698,0.76,0.24,0.24,0.14566666666666667,False,Anxa6,21
Medium Spiny Neurons,-0.008264115,0.012084189,0.257,0.743,0.257,0.1735,False,Anxa6,21
Neurons,0.006943442,0.013962113,0.695,0.305,0.305,0.19979999999999998,False,Anxa6,21
Excitatory Neurons,0.004819845,0.012538643,0.65,0.35,0.35,0.2248333333333333,False,Anxa6,21
Endothelial Cells,-0.009890168,0.031019099,0.383,0.617,0.383,0.2474285714285714,False,Anxa6,21
Endocrine Cells,0.008454762,0.03151056,0.611,0.389,0.389,0.26512499999999994,False,Anxa6,21
Astrocytes,0.0031352309,0.016266096,0.6,0.4,0.4,0.28011111111111103,False,Anxa6,21
Microglia,-0.0034905123,0.018035708,0.42,0.58,0.42,0.2940999999999999,False,Anxa6,21
GABAergic Neurons,-0.0026015611,0.019128108,0.467,0.533,0.467,0.30981818181818177,False,Anxa6,21
Oligodendrocytes,-0.0003343726,0.0106368195,0.496,0.504,0.496,0.3253333333333333,False,Anxa6,21
