group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.016135734,0.01200007,0.081,0.919,0.081,0.081,False,Ap1b1,21
Oligodendrocyte Precursor Cells,0.014777813,0.011817162,0.897,0.103,0.103,0.092,False,Ap1b1,21
Neural Stem Cells,0.014141652,0.01800535,0.774,0.226,0.226,0.1366666666666667,False,Ap1b1,21
Neurons,0.010038475,0.013630515,0.769,0.231,0.231,0.16025,False,Ap1b1,21
Endocrine Cells,-0.014892407,0.031239143,0.33,0.67,0.33,0.1942,False,Ap1b1,21
Excitatory Neurons,0.004908386,0.012728425,0.65,0.35,0.35,0.2201666666666667,False,Ap1b1,21
Astrocytes,0.003560826,0.016295094,0.61,0.39,0.39,0.24442857142857147,False,Ap1b1,21
Endothelial Cells,-0.0094347,0.031028906,0.39,0.61,0.39,0.26262500000000005,False,Ap1b1,21
Myocytes,0.0027792102,0.024756663,0.553,0.447,0.447,0.28311111111111115,False,Ap1b1,21
GABAergic Neurons,0.001128449,0.01971172,0.541,0.459,0.459,0.3007000000000001,False,Ap1b1,21
Oligodendrocytes,0.00027455573,0.010521415,0.517,0.483,0.483,0.3172727272727273,False,Ap1b1,21
Microglia,0.0013972295,0.018260619,0.513,0.487,0.487,0.33141666666666675,False,Ap1b1,21
