group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.013761859,0.011675731,0.884,0.116,0.116,0.116,False,Ap2a1,21
Medium Spiny Neurons,-0.01350279,0.01224977,0.128,0.872,0.128,0.122,False,Ap2a1,21
Neurons,0.009294391,0.014026175,0.747,0.253,0.253,0.16566666666666666,False,Ap2a1,21
Excitatory Neurons,0.0070340945,0.012475646,0.718,0.282,0.282,0.19474999999999998,False,Ap2a1,21
Neural Stem Cells,0.01064623,0.01826059,0.715,0.285,0.285,0.21279999999999996,False,Ap2a1,21
Myocytes,0.013901452,0.024720099,0.701,0.299,0.299,0.22716666666666663,False,Ap2a1,21
Astrocytes,0.0035004448,0.016076656,0.61,0.39,0.39,0.2504285714285714,False,Ap2a1,21
Endothelial Cells,-0.008464301,0.031205524,0.399,0.601,0.399,0.26899999999999996,False,Ap2a1,21
Microglia,-0.004168891,0.017977504,0.404,0.596,0.404,0.284,False,Ap2a1,21
Endocrine Cells,0.0032925329,0.031113738,0.543,0.457,0.457,0.30129999999999996,False,Ap2a1,21
Oligodendrocytes,-0.0008968234,0.010622699,0.477,0.523,0.477,0.3172727272727272,False,Ap2a1,21
GABAergic Neurons,-0.00028683458,0.0191781,0.51,0.49,0.49,0.3316666666666666,False,Ap2a1,21
