group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013532925,0.01232379,0.128,0.872,0.128,0.128,False,Ap3s2,21
Oligodendrocyte Precursor Cells,0.012752958,0.011639335,0.863,0.137,0.137,0.1325,False,Ap3s2,21
Myocytes,0.020479199,0.024743656,0.784,0.216,0.216,0.16033333333333333,False,Ap3s2,21
Neurons,0.008762481,0.01413664,0.73,0.27,0.27,0.18775,False,Ap3s2,21
Neural Stem Cells,0.0069560525,0.018251158,0.649,0.351,0.351,0.22039999999999998,False,Ap3s2,21
Excitatory Neurons,0.00466117,0.012341098,0.647,0.353,0.353,0.24249999999999997,False,Ap3s2,21
Endocrine Cells,0.009441021,0.031117821,0.622,0.378,0.378,0.26185714285714284,False,Ap3s2,21
Endothelial Cells,-0.0075581265,0.031217685,0.407,0.593,0.407,0.27999999999999997,False,Ap3s2,21
Astrocytes,0.0026989218,0.016072296,0.588,0.412,0.412,0.29466666666666663,False,Ap3s2,21
Oligodendrocytes,-0.0019052415,0.010642606,0.447,0.553,0.447,0.30989999999999995,False,Ap3s2,21
Microglia,-0.0016101132,0.017991414,0.453,0.547,0.453,0.32290909090909087,False,Ap3s2,21
GABAergic Neurons,-0.002000419,0.019022493,0.479,0.521,0.479,0.33591666666666664,False,Ap3s2,21
