group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.01666091,0.012076752,0.075,0.925,0.075,0.075,False,Apc,21
Oligodendrocyte Precursor Cells,0.011533053,0.011878403,0.832,0.168,0.168,0.1215,False,Apc,21
Neural Stem Cells,0.016653461,0.01766551,0.824,0.176,0.176,0.13966666666666666,False,Apc,21
Myocytes,0.020516273,0.024794864,0.784,0.216,0.216,0.15875,False,Apc,21
Endocrine Cells,0.021267822,0.031306136,0.756,0.244,0.244,0.1758,False,Apc,21
Neurons,0.006346123,0.013861599,0.68,0.32,0.32,0.19983333333333334,False,Apc,21
Oligodendrocytes,-0.003594554,0.010286283,0.395,0.605,0.395,0.22771428571428573,False,Apc,21
Endothelial Cells,-0.007818696,0.030919375,0.402,0.598,0.402,0.2495,False,Apc,21
GABAergic Neurons,-0.0045748595,0.01959096,0.42,0.58,0.42,0.26844444444444443,False,Apc,21
Microglia,-0.0025641823,0.018264942,0.434,0.566,0.434,0.28500000000000003,False,Apc,21
Astrocytes,0.0009984036,0.016562168,0.546,0.454,0.454,0.3003636363636364,False,Apc,21
Excitatory Neurons,0.001202947,0.012731584,0.538,0.462,0.462,0.31383333333333335,False,Apc,21
