group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.04650311,0.025047157,0.967,0.033,0.033,0.033,True,Aplp2,21
Endocrine Cells,0.0398448,0.031554304,0.902,0.098,0.098,0.0655,False,Aplp2,21
Oligodendrocyte Precursor Cells,0.014321366,0.01191636,0.888,0.112,0.112,0.081,False,Aplp2,21
Excitatory Neurons,0.011409863,0.012731229,0.812,0.188,0.188,0.10775,False,Aplp2,21
Medium Spiny Neurons,-0.010565883,0.011952109,0.195,0.805,0.195,0.1252,False,Aplp2,21
Neurons,0.0107860165,0.013587794,0.784,0.216,0.216,0.14033333333333334,False,Aplp2,21
Oligodendrocytes,0.007489779,0.01000164,0.768,0.232,0.232,0.15342857142857144,False,Aplp2,21
Astrocytes,0.006986018,0.016526759,0.677,0.323,0.323,0.174625,False,Aplp2,21
Neural Stem Cells,0.0065231165,0.017727977,0.644,0.356,0.356,0.1947777777777778,False,Aplp2,21
GABAergic Neurons,0.006003174,0.01988326,0.633,0.367,0.367,0.21200000000000002,False,Aplp2,21
Microglia,0.003180239,0.018184915,0.56,0.44,0.44,0.23272727272727273,False,Aplp2,21
Endothelial Cells,-0.0033149002,0.030513598,0.46,0.54,0.46,0.25166666666666665,False,Aplp2,21
