group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013848788,0.012222536,0.125,0.875,0.125,0.125,False,Apmap,21
Oligodendrocyte Precursor Cells,0.012991144,0.01175188,0.866,0.134,0.134,0.1295,False,Apmap,21
Neurons,0.010998019,0.0139904255,0.782,0.218,0.218,0.159,False,Apmap,21
Neural Stem Cells,0.014585781,0.01815793,0.78,0.22,0.22,0.17425,False,Apmap,21
Myocytes,0.0118667865,0.024798144,0.677,0.323,0.323,0.20400000000000001,False,Apmap,21
Endocrine Cells,0.010432698,0.031269796,0.641,0.359,0.359,0.22983333333333333,False,Apmap,21
Excitatory Neurons,0.0045396234,0.012472953,0.64,0.36,0.36,0.24842857142857142,False,Apmap,21
Endothelial Cells,-0.010506351,0.031096466,0.373,0.627,0.373,0.264,False,Apmap,21
Microglia,-0.0046330867,0.017998653,0.391,0.609,0.391,0.27811111111111114,False,Apmap,21
Astrocytes,0.0024039375,0.016156886,0.58,0.42,0.42,0.2923,False,Apmap,21
GABAergic Neurons,-0.0011665031,0.019237543,0.498,0.502,0.498,0.311,False,Apmap,21
Oligodendrocytes,-0.00025391157,0.010597584,0.5,0.5,0.5,0.32675000000000004,False,Apmap,21
