group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.1346963,0.031914283,1.0,0.0,0.0,0.0,True,Apoa4,21
Medium Spiny Neurons,-0.013710822,0.012368867,0.128,0.872,0.128,0.064,False,Apoa4,21
Oligodendrocyte Precursor Cells,0.012360243,0.011531823,0.854,0.146,0.146,0.09133333333333334,False,Apoa4,21
Neurons,0.008997433,0.014207637,0.735,0.265,0.265,0.13475,False,Apoa4,21
Neural Stem Cells,0.008644285,0.018352015,0.68,0.32,0.32,0.1718,False,Apoa4,21
Excitatory Neurons,0.0046310597,0.012283231,0.647,0.353,0.353,0.20199999999999999,False,Apoa4,21
Myocytes,0.008881592,0.024660664,0.634,0.366,0.366,0.2254285714285714,False,Apoa4,21
Endothelial Cells,-0.007975646,0.031278342,0.401,0.599,0.401,0.24737499999999998,False,Apoa4,21
Astrocytes,0.0024254138,0.015983008,0.581,0.419,0.419,0.26644444444444443,False,Apoa4,21
Microglia,-0.002521049,0.017941037,0.434,0.566,0.434,0.2832,False,Apoa4,21
Oligodendrocytes,-0.0017555067,0.010714478,0.45,0.55,0.45,0.2983636363636364,False,Apoa4,21
GABAergic Neurons,-0.002318474,0.018901175,0.472,0.528,0.472,0.31283333333333335,False,Apoa4,21
