group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013597693,0.0123691,0.128,0.872,0.128,0.128,False,Apob,21
Oligodendrocyte Precursor Cells,0.012323013,0.011529476,0.853,0.147,0.147,0.1375,False,Apob,21
Neurons,0.008980496,0.01420848,0.733,0.267,0.267,0.18066666666666667,False,Apob,21
Neural Stem Cells,0.00836839,0.018370993,0.675,0.325,0.325,0.21675,False,Apob,21
Excitatory Neurons,0.004546651,0.012281951,0.642,0.358,0.358,0.24500000000000002,False,Apob,21
Myocytes,0.008947653,0.024660788,0.636,0.364,0.364,0.2648333333333333,False,Apob,21
Endocrine Cells,0.007248031,0.031061146,0.6,0.4,0.4,0.28414285714285714,False,Apob,21
Endothelial Cells,-0.008072748,0.031281386,0.401,0.599,0.401,0.29874999999999996,False,Apob,21
Astrocytes,0.0022723966,0.015977737,0.575,0.425,0.425,0.3127777777777777,False,Apob,21
Microglia,-0.0023758179,0.017942447,0.434,0.566,0.434,0.32489999999999997,False,Apob,21
Oligodendrocytes,-0.0017526047,0.010717953,0.451,0.549,0.451,0.33636363636363636,False,Apob,21
GABAergic Neurons,-0.0023005197,0.018899977,0.473,0.527,0.473,0.34775,False,Apob,21
