group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013574937,0.0123676155,0.128,0.872,0.128,0.128,False,Apobec1,21
Oligodendrocyte Precursor Cells,0.012203024,0.011533171,0.851,0.149,0.149,0.1385,False,Apobec1,21
Neural Stem Cells,0.012736099,0.018297827,0.753,0.247,0.247,0.17466666666666666,False,Apobec1,21
Neurons,0.008947132,0.014206677,0.733,0.267,0.267,0.19775,False,Apobec1,21
Excitatory Neurons,0.0045462027,0.012282534,0.642,0.358,0.358,0.2298,False,Apobec1,21
Myocytes,0.0071201366,0.024663366,0.612,0.388,0.388,0.25616666666666665,False,Apobec1,21
Endothelial Cells,-0.008911746,0.03125309,0.395,0.605,0.395,0.27599999999999997,False,Apobec1,21
Astrocytes,0.002587022,0.016001238,0.584,0.416,0.416,0.2935,False,Apobec1,21
Microglia,-0.0016058978,0.01801105,0.453,0.547,0.453,0.3112222222222222,False,Apobec1,21
Oligodendrocytes,-0.0015833492,0.010715634,0.456,0.544,0.456,0.3257,False,Apobec1,21
GABAergic Neurons,-0.002341028,0.018900583,0.472,0.528,0.472,0.33899999999999997,False,Apobec1,21
Endocrine Cells,-0.0023849648,0.031064747,0.475,0.525,0.475,0.35033333333333333,False,Apobec1,21
