group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013005911,0.01235274,0.143,0.857,0.143,0.143,False,Arf6,21
Oligodendrocyte Precursor Cells,0.012468333,0.011565096,0.855,0.145,0.145,0.144,False,Arf6,21
Neurons,0.00893535,0.01418869,0.733,0.267,0.267,0.18499999999999997,False,Arf6,21
Endocrine Cells,0.014905669,0.031137552,0.693,0.307,0.307,0.21549999999999997,False,Arf6,21
Excitatory Neurons,0.0047046538,0.012300542,0.65,0.35,0.35,0.24239999999999995,False,Arf6,21
Neural Stem Cells,0.0068097105,0.018347839,0.645,0.355,0.355,0.2611666666666666,False,Arf6,21
Myocytes,0.007770119,0.024675077,0.621,0.379,0.379,0.27799999999999997,False,Arf6,21
Endothelial Cells,-0.007909883,0.03122749,0.402,0.598,0.402,0.2935,False,Arf6,21
Astrocytes,0.0026202302,0.01601166,0.587,0.413,0.413,0.30677777777777776,False,Arf6,21
Microglia,-0.0030349107,0.017961377,0.424,0.576,0.424,0.31849999999999995,False,Arf6,21
Oligodendrocytes,-0.0010582366,0.010698854,0.473,0.527,0.473,0.3325454545454545,False,Arf6,21
GABAergic Neurons,-0.0021625534,0.01893067,0.476,0.524,0.476,0.3445,False,Arf6,21
