group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.013467615,0.0116238855,0.877,0.123,0.123,0.123,False,Arhgap17,21
Medium Spiny Neurons,-0.01265033,0.012340614,0.147,0.853,0.147,0.135,False,Arhgap17,21
Neurons,0.009147687,0.014188811,0.739,0.261,0.261,0.17700000000000002,False,Arhgap17,21
Neural Stem Cells,0.009862471,0.01825665,0.702,0.298,0.298,0.20725,False,Arhgap17,21
Excitatory Neurons,0.0050578075,0.012304979,0.654,0.346,0.346,0.23499999999999996,False,Arhgap17,21
Endocrine Cells,0.010089479,0.0311696,0.635,0.365,0.365,0.25666666666666665,False,Arhgap17,21
Endothelial Cells,-0.008149984,0.031172803,0.4,0.6,0.4,0.27714285714285714,False,Arhgap17,21
Astrocytes,0.0027536382,0.01605545,0.59,0.41,0.41,0.29375,False,Arhgap17,21
Myocytes,0.0055856686,0.02470379,0.59,0.41,0.41,0.3066666666666667,False,Arhgap17,21
Microglia,-0.0032558504,0.01807122,0.422,0.578,0.422,0.31820000000000004,False,Arhgap17,21
GABAergic Neurons,-0.002158166,0.018931147,0.476,0.524,0.476,0.3325454545454546,False,Arhgap17,21
Oligodendrocytes,-0.00055276527,0.010664831,0.488,0.512,0.488,0.3455000000000001,False,Arhgap17,21
