group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013527149,0.012336148,0.129,0.871,0.129,0.129,False,Arid5b,21
Oligodendrocyte Precursor Cells,0.01286871,0.011615714,0.867,0.133,0.133,0.131,False,Arid5b,21
Neurons,0.01127399,0.014086024,0.785,0.215,0.215,0.159,False,Arid5b,21
Oligodendrocytes,0.0074025444,0.01055846,0.763,0.237,0.237,0.1785,False,Arid5b,21
Neural Stem Cells,0.010897009,0.018246623,0.72,0.28,0.28,0.1988,False,Arid5b,21
Myocytes,0.015464478,0.024745062,0.719,0.281,0.281,0.2125,False,Arid5b,21
Excitatory Neurons,0.00393532,0.012371259,0.618,0.382,0.382,0.2367142857142857,False,Arid5b,21
Endocrine Cells,0.007212712,0.03118759,0.599,0.401,0.401,0.25725,False,Arid5b,21
Endothelial Cells,-0.0068757357,0.031112835,0.413,0.587,0.413,0.2745555555555555,False,Arid5b,21
Astrocytes,0.0023617854,0.016042614,0.579,0.421,0.421,0.28919999999999996,False,Arid5b,21
Microglia,-0.0019271291,0.018008944,0.45,0.55,0.45,0.30381818181818177,False,Arid5b,21
GABAergic Neurons,-0.0017140942,0.019033052,0.488,0.512,0.488,0.31916666666666665,False,Arid5b,21
