group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013676203,0.012369671,0.128,0.872,0.128,0.128,False,Armc12,21
Oligodendrocyte Precursor Cells,0.01230344,0.011529024,0.852,0.148,0.148,0.138,False,Armc12,21
Neurons,0.008974372,0.014209201,0.733,0.267,0.267,0.18100000000000002,False,Armc12,21
Neural Stem Cells,0.008704342,0.01837123,0.68,0.32,0.32,0.21575,False,Armc12,21
Excitatory Neurons,0.004564149,0.012281835,0.642,0.358,0.358,0.24420000000000003,False,Armc12,21
Myocytes,0.009020956,0.024660788,0.638,0.362,0.362,0.26383333333333336,False,Armc12,21
Endocrine Cells,0.007281851,0.031061146,0.6,0.4,0.4,0.2832857142857143,False,Armc12,21
Endothelial Cells,-0.008053212,0.03128125,0.401,0.599,0.401,0.29800000000000004,False,Armc12,21
Astrocytes,0.0023202966,0.015977843,0.577,0.423,0.423,0.31188888888888894,False,Armc12,21
Microglia,-0.0025259042,0.017939175,0.433,0.567,0.433,0.324,False,Armc12,21
Oligodendrocytes,-0.0017404316,0.010717833,0.452,0.548,0.452,0.3356363636363637,False,Armc12,21
GABAergic Neurons,-0.0022675465,0.01890021,0.474,0.526,0.474,0.3471666666666667,False,Armc12,21
