group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.012800059,0.012278029,0.144,0.856,0.144,0.144,False,Arnt,21
Oligodendrocyte Precursor Cells,0.01252473,0.011680889,0.854,0.146,0.146,0.145,False,Arnt,21
Neural Stem Cells,0.014295073,0.01812283,0.774,0.226,0.226,0.17200000000000001,False,Arnt,21
Neurons,0.010082871,0.014100418,0.763,0.237,0.237,0.18825,False,Arnt,21
Endocrine Cells,0.016364861,0.03134177,0.709,0.291,0.291,0.2088,False,Arnt,21
Excitatory Neurons,0.0063169394,0.012398726,0.696,0.304,0.304,0.22466666666666668,False,Arnt,21
Astrocytes,0.003528478,0.016150465,0.61,0.39,0.39,0.24828571428571428,False,Arnt,21
Endothelial Cells,-0.007851019,0.03112746,0.402,0.598,0.402,0.2675,False,Arnt,21
Microglia,-0.002589057,0.018042587,0.432,0.568,0.432,0.2857777777777778,False,Arnt,21
Myocytes,-0.0045656646,0.024766969,0.439,0.561,0.439,0.30110000000000003,False,Arnt,21
GABAergic Neurons,0.00018346497,0.019063618,0.522,0.478,0.478,0.3171818181818182,False,Arnt,21
Oligodendrocytes,-0.00024330965,0.010608465,0.501,0.499,0.499,0.3323333333333333,False,Arnt,21
