group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.017599832,0.01228455,0.068,0.932,0.068,0.068,False,Arntl,21
Oligodendrocyte Precursor Cells,0.011826721,0.011600251,0.84,0.16,0.16,0.114,False,Arntl,21
Neurons,0.008973803,0.014128837,0.735,0.265,0.265,0.16433333333333333,False,Arntl,21
Neural Stem Cells,0.007434503,0.018313466,0.655,0.345,0.345,0.2095,False,Arntl,21
Endocrine Cells,0.011518118,0.031143593,0.652,0.348,0.348,0.2372,False,Arntl,21
Endothelial Cells,-0.0116532715,0.03125824,0.355,0.645,0.355,0.2568333333333333,False,Arntl,21
Excitatory Neurons,0.0027616941,0.012382252,0.586,0.414,0.414,0.27928571428571425,False,Arntl,21
Oligodendrocytes,-0.0021980107,0.010691216,0.438,0.562,0.438,0.299125,False,Arntl,21
Myocytes,0.0032393269,0.024673434,0.555,0.445,0.445,0.3153333333333333,False,Arntl,21
Microglia,-0.0019684636,0.01797108,0.448,0.552,0.448,0.32859999999999995,False,Arntl,21
Astrocytes,0.00094141334,0.016046396,0.545,0.455,0.455,0.34009090909090905,False,Arntl,21
GABAergic Neurons,-0.0023239604,0.018998647,0.473,0.527,0.473,0.3511666666666666,False,Arntl,21
