group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.015899131,0.01179175,0.908,0.092,0.092,0.092,False,Asap1,21
Neural Stem Cells,0.021912623,0.017897898,0.883,0.117,0.117,0.10450000000000001,False,Asap1,21
Medium Spiny Neurons,-0.013609276,0.012214073,0.127,0.873,0.127,0.112,False,Asap1,21
Neurons,0.009404896,0.014007341,0.752,0.248,0.248,0.14600000000000002,False,Asap1,21
Excitatory Neurons,0.0056356927,0.012736727,0.665,0.335,0.335,0.18380000000000002,False,Asap1,21
Myocytes,0.007640387,0.024751736,0.621,0.379,0.379,0.21633333333333335,False,Asap1,21
Astrocytes,0.003542899,0.016185645,0.61,0.39,0.39,0.24114285714285716,False,Asap1,21
Endocrine Cells,0.006585474,0.03126876,0.592,0.408,0.408,0.262,False,Asap1,21
Endothelial Cells,-0.00555048,0.031077532,0.431,0.569,0.431,0.2807777777777778,False,Asap1,21
Microglia,-0.002043909,0.0181238,0.446,0.554,0.446,0.2973,False,Asap1,21
Oligodendrocytes,0.00042660552,0.010592145,0.522,0.478,0.478,0.3137272727272728,False,Asap1,21
GABAergic Neurons,-0.0014154154,0.019296164,0.494,0.506,0.494,0.32875000000000004,False,Asap1,21
