group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.014099473,0.012367955,0.124,0.876,0.124,0.124,False,Ascl1,21
Oligodendrocyte Precursor Cells,0.012335588,0.011661402,0.851,0.149,0.149,0.1365,False,Ascl1,21
Endocrine Cells,-0.023164531,0.031093543,0.231,0.769,0.231,0.168,False,Ascl1,21
Neurons,0.009077901,0.01420248,0.738,0.262,0.262,0.1915,False,Ascl1,21
Excitatory Neurons,0.00462594,0.012290491,0.646,0.354,0.354,0.22400000000000003,False,Ascl1,21
Myocytes,0.007872768,0.024662301,0.625,0.375,0.375,0.24916666666666668,False,Ascl1,21
Endothelial Cells,-0.008237557,0.031276464,0.4,0.6,0.4,0.27071428571428574,False,Ascl1,21
Microglia,-0.0024664546,0.017942447,0.434,0.566,0.434,0.291125,False,Ascl1,21
Astrocytes,0.0019004378,0.01599768,0.564,0.436,0.436,0.30722222222222223,False,Ascl1,21
Oligodendrocytes,-0.001953462,0.010713209,0.446,0.554,0.446,0.32110000000000005,False,Ascl1,21
GABAergic Neurons,-0.0022612126,0.018913757,0.475,0.525,0.475,0.3350909090909091,False,Ascl1,21
Neural Stem Cells,0.0010016448,0.018212723,0.521,0.479,0.479,0.34708333333333335,False,Ascl1,21
