group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.014560177,0.011763638,0.895,0.105,0.105,0.105,False,Ash1l,21
Medium Spiny Neurons,-0.013188179,0.0120979175,0.13,0.87,0.13,0.1175,False,Ash1l,21
Myocytes,0.024318352,0.024838457,0.828,0.172,0.172,0.13566666666666666,False,Ash1l,21
Endocrine Cells,0.026302516,0.03149174,0.801,0.199,0.199,0.1515,False,Ash1l,21
Neurons,0.011288874,0.013986235,0.788,0.212,0.212,0.1636,False,Ash1l,21
Neural Stem Cells,0.010186561,0.017942797,0.71,0.29,0.29,0.18466666666666665,False,Ash1l,21
Excitatory Neurons,0.0058675106,0.012552317,0.675,0.325,0.325,0.20471428571428568,False,Ash1l,21
Astrocytes,0.004231118,0.01624914,0.631,0.369,0.369,0.22524999999999998,False,Ash1l,21
Endothelial Cells,-0.0075727752,0.031069823,0.406,0.594,0.406,0.2453333333333333,False,Ash1l,21
Microglia,-0.0009322342,0.018099971,0.468,0.532,0.468,0.26759999999999995,False,Ash1l,21
GABAergic Neurons,-0.0023447713,0.019264627,0.473,0.527,0.473,0.28627272727272723,False,Ash1l,21
Oligodendrocytes,-0.00026722968,0.010560892,0.5,0.5,0.5,0.3040833333333333,False,Ash1l,21
