group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.014145866,0.012265326,0.12,0.88,0.12,0.12,False,Atf6b,21
Oligodendrocyte Precursor Cells,0.012532931,0.0117060775,0.854,0.146,0.146,0.133,False,Atf6b,21
Myocytes,0.022451287,0.024770843,0.808,0.192,0.192,0.15266666666666667,False,Atf6b,21
Neural Stem Cells,0.014863626,0.018142296,0.782,0.218,0.218,0.169,False,Atf6b,21
Neurons,0.0092633115,0.014105096,0.742,0.258,0.258,0.18680000000000002,False,Atf6b,21
Excitatory Neurons,0.0044299485,0.01240867,0.639,0.361,0.361,0.21583333333333332,False,Atf6b,21
Endocrine Cells,0.008211417,0.031221734,0.611,0.389,0.389,0.24057142857142857,False,Atf6b,21
Endothelial Cells,-0.009523567,0.031171516,0.39,0.61,0.39,0.25925,False,Atf6b,21
Microglia,-0.003535397,0.01803009,0.418,0.582,0.418,0.2768888888888889,False,Atf6b,21
Astrocytes,0.0020554366,0.016125027,0.57,0.43,0.43,0.2922,False,Atf6b,21
GABAergic Neurons,-0.0029559557,0.019076217,0.455,0.545,0.455,0.307,False,Atf6b,21
Oligodendrocytes,-0.00051750336,0.0106117,0.489,0.511,0.489,0.32216666666666666,False,Atf6b,21
