group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013055073,0.012287527,0.14,0.86,0.14,0.14,False,Atg14,21
Oligodendrocyte Precursor Cells,0.01245752,0.011623327,0.854,0.146,0.146,0.14300000000000002,False,Atg14,21
Neurons,0.009410218,0.0141434735,0.749,0.251,0.251,0.17900000000000002,False,Atg14,21
Endocrine Cells,0.012804564,0.031151488,0.664,0.336,0.336,0.21825,False,Atg14,21
Neural Stem Cells,0.0070093856,0.018262139,0.65,0.35,0.35,0.24459999999999998,False,Atg14,21
Excitatory Neurons,0.004568184,0.012345421,0.642,0.358,0.358,0.2635,False,Atg14,21
Endothelial Cells,-0.0080974335,0.031217447,0.401,0.599,0.401,0.28314285714285714,False,Atg14,21
Astrocytes,0.0029048997,0.016062556,0.594,0.406,0.406,0.2985,False,Atg14,21
Myocytes,0.00542278,0.02468621,0.588,0.412,0.412,0.3111111111111111,False,Atg14,21
Microglia,-0.0026680261,0.017990466,0.431,0.569,0.431,0.3231,False,Atg14,21
Oligodendrocytes,-0.00079827587,0.01066772,0.48,0.52,0.48,0.33736363636363637,False,Atg14,21
GABAergic Neurons,-0.0018596441,0.019006683,0.483,0.517,0.483,0.3495,False,Atg14,21
