group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.012806499,0.012128594,0.141,0.859,0.141,0.141,False,Atg9a,21
Oligodendrocyte Precursor Cells,0.0121474555,0.011755014,0.845,0.155,0.155,0.148,False,Atg9a,21
Neurons,0.010591057,0.014005908,0.773,0.227,0.227,0.17433333333333334,False,Atg9a,21
Myocytes,-0.015668133,0.024813972,0.263,0.737,0.263,0.1965,False,Atg9a,21
Neural Stem Cells,0.010479145,0.01821833,0.711,0.289,0.289,0.215,False,Atg9a,21
Excitatory Neurons,0.006226431,0.012536772,0.687,0.313,0.313,0.2313333333333333,False,Atg9a,21
Endothelial Cells,-0.008488434,0.031173147,0.398,0.602,0.398,0.25514285714285717,False,Atg9a,21
Endocrine Cells,0.0056940685,0.03118341,0.575,0.425,0.425,0.276375,False,Atg9a,21
Astrocytes,0.00220951,0.016169492,0.573,0.427,0.427,0.2931111111111111,False,Atg9a,21
Microglia,-0.00011250639,0.018039674,0.486,0.514,0.486,0.31239999999999996,False,Atg9a,21
Oligodendrocytes,-0.000449042,0.010586585,0.491,0.509,0.491,0.3286363636363636,False,Atg9a,21
GABAergic Neurons,-0.000579544,0.019236716,0.505,0.495,0.495,0.34249999999999997,False,Atg9a,21
