group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013889337,0.012367846,0.126,0.874,0.126,0.126,False,Atoh7,21
Oligodendrocyte Precursor Cells,0.012143226,0.011534176,0.849,0.151,0.151,0.1385,False,Atoh7,21
Neurons,0.008997978,0.014203082,0.735,0.265,0.265,0.18066666666666667,False,Atoh7,21
Neural Stem Cells,0.008638313,0.018370874,0.68,0.32,0.32,0.21550000000000002,False,Atoh7,21
Myocytes,0.01129009,0.02466981,0.672,0.328,0.328,0.23800000000000004,False,Atoh7,21
Excitatory Neurons,0.004297257,0.012290835,0.635,0.365,0.365,0.2591666666666667,False,Atoh7,21
Endothelial Cells,-0.008105168,0.03127962,0.401,0.599,0.401,0.27942857142857147,False,Atoh7,21
Endocrine Cells,0.006916137,0.031061146,0.597,0.403,0.403,0.294875,False,Atoh7,21
Astrocytes,0.0023337076,0.015979681,0.577,0.423,0.423,0.3091111111111111,False,Atoh7,21
Microglia,-0.0025263885,0.017939996,0.433,0.567,0.433,0.3215,False,Atoh7,21
Oligodendrocytes,-0.0017179231,0.010717603,0.452,0.548,0.452,0.33336363636363636,False,Atoh7,21
GABAergic Neurons,-0.0024261486,0.018907165,0.471,0.529,0.471,0.3448333333333333,False,Atoh7,21
