group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.13599896,0.02568738,1.0,0.0,0.0,0.0,True,Atp1b2,21
Endocrine Cells,0.070787475,0.03179593,0.984,0.016,0.016,0.008,True,Atp1b2,21
Oligodendrocyte Precursor Cells,0.011794166,0.01198565,0.833,0.167,0.167,0.061,False,Atp1b2,21
Medium Spiny Neurons,-0.010875766,0.011630323,0.172,0.828,0.172,0.08875,False,Atp1b2,21
Neural Stem Cells,0.013795708,0.016263258,0.792,0.208,0.208,0.11259999999999999,False,Atp1b2,21
Astrocytes,-0.015045302,0.019802956,0.222,0.778,0.222,0.13083333333333333,False,Atp1b2,21
Neurons,-0.00959593,0.012797303,0.231,0.769,0.231,0.14514285714285716,False,Atp1b2,21
Endothelial Cells,-0.017503545,0.02936383,0.275,0.725,0.275,0.161375,False,Atp1b2,21
Microglia,-0.009970308,0.018693827,0.307,0.693,0.307,0.17755555555555555,False,Atp1b2,21
Oligodendrocytes,0.003995653,0.009528518,0.665,0.335,0.335,0.19329999999999997,False,Atp1b2,21
GABAergic Neurons,0.0022067253,0.020184826,0.552,0.448,0.448,0.21645454545454543,False,Atp1b2,21
Excitatory Neurons,-0.0006703954,0.013054154,0.486,0.514,0.486,0.23891666666666667,False,Atp1b2,21
