group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.19036083,0.02520321,0.0,1.0,0.0,0.0,True,Atp5o,21
Medium Spiny Neurons,-0.012411471,0.011131462,0.127,0.873,0.127,0.0635,False,Atp5o,21
Oligodendrocyte Precursor Cells,0.013360641,0.011941765,0.872,0.128,0.128,0.085,False,Atp5o,21
Neural Stem Cells,-0.010938696,0.017074516,0.256,0.744,0.256,0.12775,False,Atp5o,21
Neurons,0.007496907,0.012697265,0.723,0.277,0.277,0.15760000000000002,False,Atp5o,21
Endothelial Cells,-0.012639872,0.030305265,0.342,0.658,0.342,0.18833333333333335,False,Atp5o,21
Excitatory Neurons,0.0051774736,0.013472265,0.65,0.35,0.35,0.21142857142857144,False,Atp5o,21
Endocrine Cells,-0.0050621405,0.03142907,0.436,0.564,0.436,0.2395,False,Atp5o,21
Astrocytes,0.00063852535,0.016971055,0.54,0.46,0.46,0.264,False,Atp5o,21
Oligodendrocytes,0.0007719476,0.009647052,0.538,0.462,0.462,0.2838,False,Atp5o,21
Microglia,0.0017927679,0.01851305,0.523,0.477,0.477,0.30136363636363633,False,Atp5o,21
GABAergic Neurons,-0.00014532525,0.021121051,0.514,0.486,0.486,0.31675000000000003,False,Atp5o,21
