group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Neurons,0.017891804,0.0133526875,0.914,0.086,0.086,0.086,False,Atp6ap2,21
Medium Spiny Neurons,-0.012381128,0.011854134,0.143,0.857,0.143,0.11449999999999999,False,Atp6ap2,21
Oligodendrocyte Precursor Cells,0.012387199,0.011852199,0.848,0.152,0.152,0.127,False,Atp6ap2,21
Oligodendrocytes,0.0076011033,0.010269149,0.768,0.232,0.232,0.15325,False,Atp6ap2,21
Excitatory Neurons,0.008663162,0.012964211,0.749,0.251,0.251,0.1728,False,Atp6ap2,21
Endocrine Cells,-0.018390073,0.031614203,0.283,0.717,0.283,0.19116666666666668,False,Atp6ap2,21
GABAergic Neurons,0.009319509,0.020305045,0.678,0.322,0.322,0.20985714285714288,False,Atp6ap2,21
Astrocytes,0.0048379055,0.016363617,0.641,0.359,0.359,0.2285,False,Atp6ap2,21
Endothelial Cells,-0.011075049,0.030880786,0.362,0.638,0.362,0.24333333333333332,False,Atp6ap2,21
Neural Stem Cells,0.0061623002,0.01802052,0.636,0.364,0.364,0.25539999999999996,False,Atp6ap2,21
Myocytes,0.002845772,0.024827555,0.553,0.447,0.447,0.2728181818181818,False,Atp6ap2,21
Microglia,0.00020873631,0.01827335,0.49,0.51,0.49,0.29091666666666666,False,Atp6ap2,21
