group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.014143588,0.011623439,0.89,0.11,0.11,0.11,False,Atp7a,21
Medium Spiny Neurons,-0.013262877,0.012336498,0.135,0.865,0.135,0.1225,False,Atp7a,21
Neurons,0.009101899,0.014171781,0.738,0.262,0.262,0.169,False,Atp7a,21
Neural Stem Cells,0.009048349,0.01820997,0.691,0.309,0.309,0.20400000000000001,False,Atp7a,21
Excitatory Neurons,0.0050736996,0.01231106,0.654,0.346,0.346,0.2324,False,Atp7a,21
Endocrine Cells,0.0071688816,0.03118946,0.598,0.402,0.402,0.26066666666666666,False,Atp7a,21
Endothelial Cells,-0.0077453246,0.0310891,0.403,0.597,0.403,0.281,False,Atp7a,21
Astrocytes,0.0024034884,0.016067134,0.581,0.419,0.419,0.29825,False,Atp7a,21
Myocytes,-0.002818119,0.024678485,0.468,0.532,0.468,0.3171111111111111,False,Atp7a,21
Microglia,-0.0007041008,0.018053694,0.472,0.528,0.472,0.3326,False,Atp7a,21
GABAergic Neurons,-0.0022389505,0.018943617,0.475,0.525,0.475,0.34554545454545454,False,Atp7a,21
Oligodendrocytes,-4.0281775e-06,0.010658694,0.51,0.49,0.49,0.35758333333333336,False,Atp7a,21
