group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013301285,0.012344273,0.135,0.865,0.135,0.135,False,Atr,21
Oligodendrocyte Precursor Cells,0.012682808,0.011586818,0.863,0.137,0.137,0.136,False,Atr,21
Endocrine Cells,0.025337433,0.03120955,0.8,0.2,0.2,0.15733333333333335,False,Atr,21
Neurons,0.009482617,0.014185323,0.752,0.248,0.248,0.18,False,Atr,21
Neural Stem Cells,0.00793309,0.018295083,0.664,0.336,0.336,0.2112,False,Atr,21
Excitatory Neurons,0.004493769,0.012303696,0.64,0.36,0.36,0.236,False,Atr,21
Endothelial Cells,-0.008166906,0.031249696,0.4,0.6,0.4,0.2594285714285714,False,Atr,21
Astrocytes,0.0027743953,0.016033094,0.59,0.41,0.41,0.27825,False,Atr,21
Microglia,-0.0026334384,0.017965116,0.431,0.569,0.431,0.2952222222222222,False,Atr,21
Myocytes,0.0041036415,0.024668397,0.569,0.431,0.431,0.3088,False,Atr,21
Oligodendrocytes,-0.0015913672,0.010694227,0.456,0.544,0.456,0.3221818181818182,False,Atr,21
GABAergic Neurons,-0.0019244973,0.018934622,0.479,0.521,0.479,0.33525,False,Atr,21
