group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.110161915,0.025237996,1.0,0.0,0.0,0.0,True,Cldn11,21
Oligodendrocytes,-0.13199383,0.0121150315,0.0,1.0,0.0,0.0,True,Cldn11,21
Oligodendrocyte Precursor Cells,0.008711995,0.011714255,0.767,0.233,0.233,0.07766666666666668,False,Cldn11,21
Medium Spiny Neurons,-0.00754378,0.012341531,0.278,0.722,0.278,0.12775,False,Cldn11,21
Microglia,-0.008484468,0.018059075,0.324,0.676,0.324,0.16699999999999998,False,Cldn11,21
Neurons,0.005124291,0.01411265,0.652,0.348,0.348,0.19716666666666663,False,Cldn11,21
Endothelial Cells,-0.010726588,0.030902065,0.366,0.634,0.366,0.22128571428571428,False,Cldn11,21
Endocrine Cells,-0.0076330146,0.031182835,0.413,0.587,0.413,0.24525,False,Cldn11,21
Excitatory Neurons,0.0027123066,0.01232427,0.584,0.416,0.416,0.26422222222222225,False,Cldn11,21
Astrocytes,-0.0033343977,0.01626552,0.431,0.569,0.431,0.28090000000000004,False,Cldn11,21
GABAergic Neurons,-0.0015059236,0.018991215,0.492,0.508,0.492,0.30009090909090913,False,Cldn11,21
Neural Stem Cells,-0.00018408036,0.017838191,0.493,0.507,0.493,0.31616666666666665,False,Cldn11,21
