group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.025865145,0.009771832,0.005,0.995,0.005,0.005,True,Cpox,21
Oligodendrocyte Precursor Cells,0.013856388,0.01171101,0.886,0.114,0.114,0.059500000000000004,False,Cpox,21
Medium Spiny Neurons,-0.011584433,0.012269218,0.17,0.83,0.17,0.09633333333333334,False,Cpox,21
Myocytes,-0.018430954,0.024715409,0.231,0.769,0.231,0.13,False,Cpox,21
Neurons,0.009051009,0.014054601,0.738,0.262,0.262,0.1564,False,Cpox,21
Excitatory Neurons,0.005078232,0.012448525,0.654,0.346,0.346,0.18800000000000003,False,Cpox,21
Neural Stem Cells,0.0064691147,0.018182524,0.64,0.36,0.36,0.21257142857142858,False,Cpox,21
Endocrine Cells,-0.010013771,0.031178305,0.384,0.616,0.384,0.23399999999999999,False,Cpox,21
Endothelial Cells,-0.00811262,0.03119792,0.401,0.599,0.401,0.25255555555555553,False,Cpox,21
Microglia,-0.0032612272,0.01801361,0.422,0.578,0.422,0.26949999999999996,False,Cpox,21
Astrocytes,0.0015208173,0.01609442,0.556,0.444,0.444,0.2853636363636363,False,Cpox,21
GABAergic Neurons,-0.0026674536,0.019091794,0.465,0.535,0.465,0.3003333333333333,False,Cpox,21
