group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.105059534,0.031947676,1.0,0.0,0.0,0.0,True,Cxcl14,21
Medium Spiny Neurons,-0.01976567,0.012295764,0.046,0.954,0.046,0.023,True,Cxcl14,21
Oligodendrocyte Precursor Cells,0.011333713,0.011742696,0.829,0.171,0.171,0.07233333333333335,False,Cxcl14,21
Neural Stem Cells,0.010794759,0.018275147,0.718,0.282,0.282,0.12475,False,Cxcl14,21
Neurons,0.0074294168,0.014130517,0.699,0.301,0.301,0.16,False,Cxcl14,21
Astrocytes,0.005910602,0.01659745,0.657,0.343,0.343,0.1905,False,Cxcl14,21
Excitatory Neurons,0.0037895313,0.012375826,0.616,0.384,0.384,0.21814285714285717,False,Cxcl14,21
Endothelial Cells,-0.007948179,0.03106993,0.401,0.599,0.401,0.24100000000000002,False,Cxcl14,21
GABAergic Neurons,-0.0044009485,0.019352837,0.422,0.578,0.422,0.2611111111111111,False,Cxcl14,21
Oligodendrocytes,-0.0020552182,0.010654413,0.444,0.556,0.444,0.2794,False,Cxcl14,21
Microglia,-0.0016507786,0.018041072,0.453,0.547,0.453,0.29518181818181816,False,Cxcl14,21
Myocytes,0.0005477249,0.024688674,0.521,0.479,0.479,0.3105,False,Cxcl14,21
