group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.057260808,0.03144208,0.964,0.036,0.036,0.036,True,Dusp6,21
Oligodendrocyte Precursor Cells,0.016980922,0.011886576,0.923,0.077,0.077,0.056499999999999995,False,Dusp6,21
Neural Stem Cells,0.020740999,0.018141093,0.87,0.13,0.13,0.081,False,Dusp6,21
Excitatory Neurons,0.013440189,0.012650718,0.85,0.15,0.15,0.09825,False,Dusp6,21
Medium Spiny Neurons,-0.011462113,0.012197472,0.171,0.829,0.171,0.11280000000000001,False,Dusp6,21
Neurons,0.010593126,0.014079065,0.77,0.23,0.23,0.13233333333333333,False,Dusp6,21
Microglia,-0.014780873,0.018889993,0.231,0.769,0.231,0.14642857142857144,False,Dusp6,21
Astrocytes,0.005605016,0.01629704,0.649,0.351,0.351,0.17200000000000001,False,Dusp6,21
Myocytes,0.0070869117,0.024697222,0.61,0.39,0.39,0.19622222222222221,False,Dusp6,21
Endothelial Cells,0.003700108,0.030927327,0.551,0.449,0.449,0.22149999999999997,False,Dusp6,21
Oligodendrocytes,0.00066320394,0.010655571,0.529,0.471,0.471,0.24418181818181817,False,Dusp6,21
GABAergic Neurons,-0.0003181065,0.019095147,0.51,0.49,0.49,0.26466666666666666,False,Dusp6,21
