group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.0136282,0.012368644,0.128,0.872,0.128,0.128,False,Eif4ebp1,21
Oligodendrocyte Precursor Cells,0.012259964,0.011531494,0.852,0.148,0.148,0.138,False,Eif4ebp1,21
Neurons,0.009041049,0.014207398,0.735,0.265,0.265,0.18033333333333335,False,Eif4ebp1,21
Neural Stem Cells,0.0080771465,0.018363116,0.666,0.334,0.334,0.21875,False,Eif4ebp1,21
Excitatory Neurons,0.0045458237,0.012288267,0.642,0.358,0.358,0.2466,False,Eif4ebp1,21
Endothelial Cells,-0.008000028,0.031274714,0.401,0.599,0.401,0.27233333333333337,False,Eif4ebp1,21
Myocytes,0.006181085,0.024664996,0.596,0.404,0.404,0.2911428571428572,False,Eif4ebp1,21
Endocrine Cells,0.006526378,0.031061027,0.592,0.408,0.408,0.30575,False,Eif4ebp1,21
Astrocytes,0.002286548,0.015984382,0.575,0.425,0.425,0.319,False,Eif4ebp1,21
Microglia,-0.00227474,0.01794969,0.436,0.564,0.436,0.3307,False,Eif4ebp1,21
GABAergic Neurons,-0.0023740472,0.018907165,0.472,0.528,0.472,0.34354545454545454,False,Eif4ebp1,21
Oligodendrocytes,-0.00104022,0.01071587,0.474,0.526,0.474,0.35441666666666666,False,Eif4ebp1,21
