group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.08867611,0.024869401,1.0,0.0,0.0,0.0,True,Fam107a,21
Neural Stem Cells,0.038632054,0.015300652,0.998,0.002,0.002,0.001,True,Fam107a,21
Medium Spiny Neurons,-0.0216195,0.011418144,0.021,0.979,0.021,0.007666666666666666,True,Fam107a,21
Astrocytes,0.033296768,0.018820858,0.955,0.045,0.045,0.017,True,Fam107a,21
Excitatory Neurons,-0.01683452,0.013232632,0.104,0.896,0.104,0.0344,True,Fam107a,21
Neurons,-0.014353579,0.013489515,0.143,0.857,0.143,0.05249999999999999,False,Fam107a,21
Endocrine Cells,0.027394323,0.031444397,0.806,0.194,0.194,0.0727142857142857,False,Fam107a,21
Endothelial Cells,0.023772847,0.02881943,0.786,0.214,0.214,0.09037499999999998,False,Fam107a,21
Oligodendrocyte Precursor Cells,0.0072383536,0.011947589,0.727,0.273,0.273,0.11066666666666665,False,Fam107a,21
GABAergic Neurons,-0.010888528,0.02006112,0.3,0.7,0.3,0.1296,False,Fam107a,21
Microglia,-0.008775715,0.019017482,0.329,0.671,0.329,0.1477272727272727,False,Fam107a,21
Oligodendrocytes,-0.004479391,0.009649718,0.338,0.662,0.338,0.16358333333333333,False,Fam107a,21
