group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.015668973,0.011719183,0.907,0.093,0.093,0.093,False,Gad2,21
Neurons,0.013266436,0.013666394,0.827,0.173,0.173,0.133,False,Gad2,21
Endocrine Cells,0.016726866,0.031133147,0.714,0.286,0.286,0.18400000000000002,False,Gad2,21
Myocytes,0.013250615,0.024723025,0.694,0.306,0.306,0.21450000000000002,False,Gad2,21
Excitatory Neurons,0.0055699213,0.012330349,0.667,0.333,0.333,0.23820000000000002,False,Gad2,21
Neural Stem Cells,0.0060912464,0.017848585,0.636,0.364,0.364,0.2591666666666667,False,Gad2,21
Astrocytes,0.0038829274,0.016114708,0.622,0.378,0.378,0.2761428571428572,False,Gad2,21
Medium Spiny Neurons,-0.0036764583,0.011440933,0.388,0.612,0.388,0.290125,False,Gad2,21
Endothelial Cells,-0.0068261605,0.03119512,0.414,0.586,0.414,0.30388888888888893,False,Gad2,21
GABAergic Neurons,-0.0041525965,0.021043172,0.434,0.566,0.434,0.31690000000000007,False,Gad2,21
Oligodendrocytes,0.0007307433,0.010603948,0.532,0.468,0.468,0.3306363636363637,False,Gad2,21
Microglia,-0.000417374,0.018049603,0.48,0.52,0.48,0.3430833333333334,False,Gad2,21
