group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.24403988,0.025511488,1.0,0.0,0.0,0.0,True,Gfap,21
Neural Stem Cells,-0.042251606,0.016607761,0.009,0.991,0.009,0.0045,True,Gfap,21
Oligodendrocyte Precursor Cells,0.017016962,0.011843246,0.925,0.075,0.075,0.027999999999999997,True,Gfap,21
Microglia,0.019450907,0.01856561,0.855,0.145,0.145,0.057249999999999995,False,Gfap,21
Medium Spiny Neurons,-0.011681593,0.012230317,0.168,0.832,0.168,0.0794,False,Gfap,21
Neurons,0.01117872,0.013966073,0.785,0.215,0.215,0.102,False,Gfap,21
Astrocytes,0.0126534635,0.01776854,0.763,0.237,0.237,0.12128571428571429,False,Gfap,21
Endothelial Cells,0.018736996,0.030460723,0.719,0.281,0.281,0.14125,False,Gfap,21
Excitatory Neurons,0.0044468152,0.012374303,0.639,0.361,0.361,0.16566666666666666,False,Gfap,21
Endocrine Cells,0.0098616965,0.03111328,0.634,0.366,0.366,0.18569999999999998,False,Gfap,21
Oligodendrocytes,0.0029396208,0.010038122,0.62,0.38,0.38,0.20336363636363633,False,Gfap,21
GABAergic Neurons,0.0009089274,0.019094551,0.535,0.465,0.465,0.22516666666666663,False,Gfap,21
