group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.04305674,0.009401396,0.0,1.0,0.0,0.0,True,Gng11,21
Myocytes,-0.032248694,0.024823574,0.095,0.905,0.095,0.0475,True,Gng11,21
Medium Spiny Neurons,-0.010963837,0.012328139,0.192,0.808,0.192,0.09566666666666668,False,Gng11,21
Oligodendrocyte Precursor Cells,0.008945393,0.011787486,0.769,0.231,0.231,0.1295,False,Gng11,21
Endothelial Cells,-0.020169672,0.030430913,0.255,0.745,0.255,0.15460000000000002,False,Gng11,21
Neurons,0.007564243,0.014171663,0.702,0.298,0.298,0.1785,False,Gng11,21
Neural Stem Cells,0.008670347,0.018073173,0.682,0.318,0.318,0.19842857142857143,False,Gng11,21
Excitatory Neurons,0.004431721,0.012295747,0.639,0.361,0.361,0.21875,False,Gng11,21
Microglia,-0.0044842144,0.017970964,0.395,0.605,0.395,0.23833333333333334,False,Gng11,21
Endocrine Cells,-0.005333508,0.031219523,0.435,0.565,0.435,0.258,False,Gng11,21
GABAergic Neurons,-0.0022894857,0.01893103,0.473,0.527,0.473,0.27754545454545454,False,Gng11,21
Astrocytes,-0.0009223723,0.016161583,0.492,0.508,0.492,0.29541666666666666,False,Gng11,21
