group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.02424253,0.012430868,0.983,0.017,0.017,0.017,True,Gpr17,21
Medium Spiny Neurons,-0.013036674,0.012350797,0.142,0.858,0.142,0.07949999999999999,False,Gpr17,21
Neural Stem Cells,0.013580284,0.01824519,0.764,0.236,0.236,0.13166666666666665,False,Gpr17,21
Neurons,0.008935003,0.014182457,0.733,0.267,0.267,0.16549999999999998,False,Gpr17,21
Excitatory Neurons,0.004418129,0.012297028,0.639,0.361,0.361,0.20459999999999998,False,Gpr17,21
Myocytes,0.00807328,0.024662545,0.628,0.372,0.372,0.2325,False,Gpr17,21
Endothelial Cells,-0.008676156,0.03126385,0.395,0.605,0.395,0.2557142857142857,False,Gpr17,21
Microglia,-0.0032920782,0.017953083,0.422,0.578,0.422,0.2765,False,Gpr17,21
Astrocytes,0.0022859932,0.016008914,0.575,0.425,0.425,0.293,False,Gpr17,21
Oligodendrocytes,-0.0023093314,0.010612051,0.435,0.565,0.435,0.30720000000000003,False,Gpr17,21
Endocrine Cells,0.0047213295,0.031060105,0.562,0.438,0.438,0.3190909090909091,False,Gpr17,21
GABAergic Neurons,-0.0023722087,0.018927913,0.472,0.528,0.472,0.33183333333333337,False,Gpr17,21
