group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.091483824,0.025082307,1.0,0.0,0.0,0.0,True,Gprc5b,21
Oligodendrocytes,-0.032075096,0.00991686,0.0,1.0,0.0,0.0,True,Gprc5b,21
Astrocytes,-0.021889852,0.017639695,0.098,0.902,0.098,0.03266666666666667,True,Gprc5b,21
Endocrine Cells,0.03954089,0.031476434,0.9,0.1,0.1,0.0495,True,Gprc5b,21
Medium Spiny Neurons,-0.014068263,0.012142207,0.118,0.882,0.118,0.0632,False,Gprc5b,21
Oligodendrocyte Precursor Cells,0.006925718,0.0119399745,0.715,0.285,0.285,0.10016666666666667,False,Gprc5b,21
Neurons,-0.0059067556,0.01378986,0.326,0.674,0.326,0.13242857142857142,False,Gprc5b,21
Endothelial Cells,-0.0126852635,0.030389613,0.341,0.659,0.341,0.1585,False,Gprc5b,21
Microglia,-0.007096831,0.0182459,0.351,0.649,0.351,0.17988888888888888,False,Gprc5b,21
GABAergic Neurons,-0.0027299067,0.01956075,0.465,0.535,0.465,0.2084,False,Gprc5b,21
Neural Stem Cells,-0.000507671,0.016842647,0.484,0.516,0.484,0.23345454545454547,False,Gprc5b,21
Excitatory Neurons,-0.00019121381,0.012525548,0.498,0.502,0.498,0.2555,False,Gprc5b,21
