group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,0.0381712,0.009380539,1.0,0.0,0.0,0.0,True,Gstp1,21
Oligodendrocyte Precursor Cells,0.013413927,0.011731275,0.877,0.123,0.123,0.0615,False,Gstp1,21
Neurons,0.01349884,0.013919417,0.827,0.173,0.173,0.09866666666666667,False,Gstp1,21
Medium Spiny Neurons,-0.009859973,0.012138206,0.21,0.79,0.21,0.1265,False,Gstp1,21
Neural Stem Cells,0.013834261,0.018027326,0.768,0.232,0.232,0.1476,False,Gstp1,21
Excitatory Neurons,0.008091211,0.012501473,0.741,0.259,0.259,0.16616666666666666,False,Gstp1,21
Astrocytes,0.0039235153,0.016180377,0.622,0.378,0.378,0.19642857142857142,False,Gstp1,21
Endocrine Cells,0.006952472,0.031230668,0.597,0.403,0.403,0.22225,False,Gstp1,21
Myocytes,-0.006282529,0.024752904,0.403,0.597,0.403,0.24233333333333335,False,Gstp1,21
Endothelial Cells,-0.0065616677,0.031094955,0.418,0.582,0.418,0.2599,False,Gstp1,21
Microglia,-0.0025516755,0.0180364,0.433,0.567,0.433,0.2756363636363636,False,Gstp1,21
GABAergic Neurons,-0.0011713197,0.019189483,0.498,0.502,0.498,0.2941666666666667,False,Gstp1,21
