group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.15053932,0.032501526,1.0,0.0,0.0,0.0,True,H2-D1,21
Oligodendrocytes,0.020600453,0.010423942,0.971,0.029,0.029,0.0145,True,H2-D1,21
Microglia,0.031757914,0.0189012,0.952,0.048,0.048,0.025666666666666667,True,H2-D1,21
Neural Stem Cells,0.027662722,0.017720563,0.932,0.068,0.068,0.036250000000000004,True,H2-D1,21
Myocytes,-0.030651843,0.025147323,0.113,0.887,0.113,0.0516,False,H2-D1,21
Oligodendrocyte Precursor Cells,0.0140037015,0.011862506,0.885,0.115,0.115,0.06216666666666667,False,H2-D1,21
Medium Spiny Neurons,-0.007892616,0.012288788,0.271,0.729,0.271,0.092,False,H2-D1,21
Astrocytes,0.008879084,0.01648002,0.72,0.28,0.28,0.1155,False,H2-D1,21
Neurons,0.007959139,0.014115415,0.718,0.282,0.282,0.134,False,H2-D1,21
Excitatory Neurons,0.004781603,0.0123403985,0.651,0.349,0.349,0.1555,False,H2-D1,21
Endothelial Cells,-0.0035328397,0.029680979,0.457,0.543,0.457,0.1829090909090909,False,H2-D1,21
GABAergic Neurons,-0.0020198156,0.018991334,0.479,0.521,0.479,0.20758333333333334,False,H2-D1,21
