group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.023082426,0.012132368,0.021,0.979,0.021,0.021,True,Hist1h2bc,21
Endocrine Cells,-0.05721447,0.03168835,0.038,0.962,0.038,0.0295,True,Hist1h2bc,21
Myocytes,-0.021713763,0.024863997,0.205,0.795,0.205,0.08800000000000001,False,Hist1h2bc,21
Oligodendrocyte Precursor Cells,0.009855502,0.011746506,0.792,0.208,0.208,0.118,False,Hist1h2bc,21
Oligodendrocytes,-0.008313417,0.010397894,0.21,0.79,0.21,0.1364,False,Hist1h2bc,21
Neural Stem Cells,0.013765672,0.0175542,0.774,0.226,0.226,0.15133333333333332,False,Hist1h2bc,21
Endothelial Cells,-0.015873829,0.030787358,0.302,0.698,0.302,0.17285714285714285,False,Hist1h2bc,21
Neurons,0.006508875,0.014111208,0.684,0.316,0.316,0.19075,False,Hist1h2bc,21
Excitatory Neurons,0.0033848935,0.012416728,0.602,0.398,0.398,0.21377777777777776,False,Hist1h2bc,21
Microglia,-0.0030301688,0.018085247,0.425,0.575,0.425,0.23489999999999997,False,Hist1h2bc,21
Astrocytes,0.0012050249,0.016572481,0.55,0.45,0.45,0.25445454545454543,False,Hist1h2bc,21
GABAergic Neurons,-0.0027633433,0.019091194,0.463,0.537,0.463,0.2718333333333333,False,Hist1h2bc,21
