group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.11511164,0.031832706,1.0,0.0,0.0,0.0,True,Id4,21
Myocytes,0.04725147,0.024797207,0.97,0.03,0.03,0.015,True,Id4,21
Neural Stem Cells,-0.0179274,0.016591022,0.138,0.862,0.138,0.056,False,Id4,21
Astrocytes,0.016912807,0.017444229,0.834,0.166,0.166,0.0835,False,Id4,21
Oligodendrocyte Precursor Cells,0.010266183,0.0117747225,0.807,0.193,0.193,0.10540000000000001,False,Id4,21
Neurons,0.010497046,0.013716071,0.776,0.224,0.224,0.12516666666666668,False,Id4,21
Medium Spiny Neurons,0.0069065513,0.010986309,0.741,0.259,0.259,0.1442857142857143,False,Id4,21
GABAergic Neurons,-0.006994534,0.01939251,0.373,0.627,0.373,0.172875,False,Id4,21
Endothelial Cells,-0.008105914,0.03091914,0.4,0.6,0.4,0.1981111111111111,False,Id4,21
Microglia,-0.0040048435,0.018116677,0.408,0.592,0.408,0.2191,False,Id4,21
Excitatory Neurons,0.003010376,0.01238845,0.591,0.409,0.409,0.23636363636363633,False,Id4,21
Oligodendrocytes,-0.0013511631,0.010515164,0.465,0.535,0.465,0.2554166666666666,False,Id4,21
