group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Microglia,-0.023048446,0.018738909,0.117,0.883,0.117,0.117,False,Ighm,21
Medium Spiny Neurons,-0.013921834,0.012341185,0.125,0.875,0.125,0.121,False,Ighm,21
Oligodendrocyte Precursor Cells,0.01162232,0.011561955,0.835,0.165,0.165,0.13566666666666669,False,Ighm,21
Neurons,0.008430789,0.014196847,0.724,0.276,0.276,0.17075,False,Ighm,21
Neural Stem Cells,0.007582193,0.01833912,0.66,0.34,0.34,0.20460000000000003,False,Ighm,21
Endothelial Cells,-0.010024001,0.03122013,0.383,0.617,0.383,0.23433333333333337,False,Ighm,21
Endocrine Cells,0.0067295865,0.031074384,0.594,0.406,0.406,0.2588571428571429,False,Ighm,21
Astrocytes,0.0016404303,0.016017051,0.558,0.442,0.442,0.28175000000000006,False,Ighm,21
Excitatory Neurons,0.0017200956,0.012347059,0.558,0.442,0.442,0.29955555555555563,False,Ighm,21
Oligodendrocytes,-0.0020534897,0.0106886765,0.444,0.556,0.444,0.31400000000000006,False,Ighm,21
GABAergic Neurons,-0.002838261,0.018930191,0.458,0.542,0.458,0.32709090909090915,False,Ighm,21
Myocytes,-0.001485523,0.02467837,0.495,0.505,0.495,0.3410833333333334,False,Ighm,21
