group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.022851137,0.011870449,0.982,0.018,0.018,0.018,True,Mfsd2a,21
Medium Spiny Neurons,-0.013403519,0.012343817,0.134,0.866,0.134,0.076,False,Mfsd2a,21
Neurons,0.008575742,0.014193608,0.728,0.272,0.272,0.14133333333333334,False,Mfsd2a,21
Astrocytes,0.008777248,0.016276296,0.72,0.28,0.28,0.17600000000000002,False,Mfsd2a,21
Neural Stem Cells,0.008977846,0.018293645,0.689,0.311,0.311,0.203,False,Mfsd2a,21
Myocytes,0.010620894,0.02465573,0.665,0.335,0.335,0.225,False,Mfsd2a,21
Excitatory Neurons,0.0045442656,0.012294576,0.642,0.358,0.358,0.24400000000000002,False,Mfsd2a,21
Endocrine Cells,0.0052959407,0.031064628,0.569,0.431,0.431,0.26737500000000003,False,Mfsd2a,21
Microglia,-0.0024818287,0.01795834,0.434,0.566,0.434,0.2858888888888889,False,Mfsd2a,21
Endothelial Cells,-0.002454361,0.030987993,0.471,0.529,0.471,0.30440000000000006,False,Mfsd2a,21
Oligodendrocytes,-0.0009885924,0.010668883,0.474,0.526,0.474,0.3198181818181819,False,Mfsd2a,21
GABAergic Neurons,-0.0021871575,0.018920956,0.476,0.524,0.476,0.33283333333333337,False,Mfsd2a,21
