group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Neural Stem Cells,0.039772213,0.016725628,0.997,0.003,0.003,0.003,True,Mlc1,21
Myocytes,0.04895601,0.024855683,0.975,0.025,0.025,0.014,True,Mlc1,21
Oligodendrocyte Precursor Cells,0.014916975,0.011829479,0.899,0.101,0.101,0.043000000000000003,True,Mlc1,21
Endocrine Cells,0.031244665,0.031263527,0.834,0.166,0.166,0.07375000000000001,False,Mlc1,21
Medium Spiny Neurons,-0.009662655,0.012140951,0.215,0.785,0.215,0.10200000000000001,False,Mlc1,21
Astrocytes,0.010879316,0.017714193,0.741,0.259,0.259,0.12816666666666668,False,Mlc1,21
Neurons,0.0071396334,0.01395589,0.699,0.301,0.301,0.15285714285714286,False,Mlc1,21
Excitatory Neurons,0.004108883,0.012447361,0.626,0.374,0.374,0.1805,False,Mlc1,21
Microglia,-0.00062832545,0.018245667,0.473,0.527,0.473,0.21299999999999997,False,Mlc1,21
Oligodendrocytes,8.0268575e-05,0.0104416525,0.513,0.487,0.487,0.2404,False,Mlc1,21
GABAergic Neurons,-0.0014669832,0.019180495,0.492,0.508,0.492,0.26327272727272727,False,Mlc1,21
Endothelial Cells,-0.0004836325,0.030474411,0.493,0.507,0.493,0.28241666666666665,False,Mlc1,21
