group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocyte Precursor Cells,0.03480102,0.01191602,0.997,0.003,0.003,0.003,True,Mmp15,21
Myocytes,0.052859455,0.024866123,0.987,0.013,0.013,0.008,True,Mmp15,21
Endocrine Cells,0.03744612,0.031346653,0.886,0.114,0.114,0.043333333333333335,True,Mmp15,21
Medium Spiny Neurons,-0.013027967,0.012351254,0.142,0.858,0.142,0.068,False,Mmp15,21
Neural Stem Cells,0.010907019,0.01817631,0.72,0.28,0.28,0.11040000000000001,False,Mmp15,21
Neurons,0.0072146547,0.014130882,0.698,0.302,0.302,0.14233333333333334,False,Mmp15,21
Endothelial Cells,-0.011034943,0.03114123,0.362,0.638,0.362,0.17371428571428574,False,Mmp15,21
Excitatory Neurons,0.0042940006,0.012306965,0.635,0.365,0.365,0.19762500000000002,False,Mmp15,21
Astrocytes,0.0020601884,0.016081125,0.57,0.43,0.43,0.22344444444444445,False,Mmp15,21
Oligodendrocytes,-0.002292206,0.010676283,0.436,0.564,0.436,0.2447,False,Mmp15,21
Microglia,-0.0021697984,0.017965117,0.441,0.559,0.441,0.2625454545454545,False,Mmp15,21
GABAergic Neurons,-0.0012463368,0.018985568,0.496,0.504,0.496,0.282,False,Mmp15,21
