group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.28457677,0.034004793,1.0,0.0,0.0,0.0,True,Mt2,21
Myocytes,0.17848289,0.025224175,1.0,0.0,0.0,0.0,True,Mt2,21
Neural Stem Cells,0.097055346,0.014141332,1.0,0.0,0.0,0.0,True,Mt2,21
Oligodendrocytes,0.034703057,0.009196133,1.0,0.0,0.0,0.0,True,Mt2,21
Astrocytes,0.06249333,0.01925748,0.998,0.002,0.002,0.0004,True,Mt2,21
Oligodendrocyte Precursor Cells,0.022825027,0.011919156,0.98,0.02,0.02,0.0036666666666666666,True,Mt2,21
Endothelial Cells,0.031862654,0.029233504,0.859,0.141,0.141,0.02328571428571428,True,Mt2,21
Microglia,0.013999579,0.019011298,0.765,0.235,0.235,0.049749999999999996,True,Mt2,21
Excitatory Neurons,0.0081624845,0.0127769215,0.74,0.26,0.26,0.0731111111111111,False,Mt2,21
Neurons,0.0044864137,0.013426145,0.642,0.358,0.358,0.1016,False,Mt2,21
GABAergic Neurons,0.004698998,0.019730173,0.61,0.39,0.39,0.12781818181818183,False,Mt2,21
Medium Spiny Neurons,-0.0023104013,0.011477348,0.426,0.574,0.426,0.15266666666666667,False,Mt2,21
