group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.03565674,0.024859084,0.924,0.076,0.076,0.076,False,Ntsr2,21
Neural Stem Cells,-0.021346623,0.017526489,0.115,0.885,0.115,0.0955,False,Ntsr2,21
Oligodendrocyte Precursor Cells,0.013730831,0.011930347,0.877,0.123,0.123,0.10466666666666667,False,Ntsr2,21
Medium Spiny Neurons,-0.013112432,0.011887553,0.128,0.872,0.128,0.1105,False,Ntsr2,21
Excitatory Neurons,0.007516335,0.012616828,0.726,0.274,0.274,0.1432,False,Ntsr2,21
Astrocytes,0.00741957,0.018733414,0.67,0.33,0.33,0.17433333333333334,False,Ntsr2,21
Neurons,0.0030797052,0.013675511,0.605,0.395,0.395,0.20585714285714288,False,Ntsr2,21
Endothelial Cells,-0.006230416,0.030152723,0.421,0.579,0.421,0.23275,False,Ntsr2,21
Microglia,-0.00217228,0.018449746,0.443,0.557,0.443,0.2561111111111111,False,Ntsr2,21
Endocrine Cells,0.0016755469,0.031124206,0.527,0.473,0.473,0.2778,False,Ntsr2,21
Oligodendrocytes,0.0004873178,0.010105057,0.523,0.477,0.477,0.2959090909090909,False,Ntsr2,21
GABAergic Neurons,-0.0015842437,0.019372145,0.491,0.509,0.491,0.31216666666666665,False,Ntsr2,21
